file_key,has_gold,wer_asr,wer_lev,wer_llm,asr_output,lev_output,llm_output,correction_level,lev_instruction,llm_instruction,lev_callsign,llm_callsign
LKPR_RUZYNE_Radar_120_520MHz_20201026_114352,TRUE,0.2,0.4,0.4,oscar kilo papa romeo mike turn right heading zero six zero zero six zerooscar papa romeo mike,right oscar kilo papa romeo mike turn right heading zero six zero zero six zeroos,Oscar Kilo Papa Romeo Mike turn right heading zero six zero right heading zero six zero zero six zeroos,,turn,turn right heading zero six zero,oscar kilo papa romeo mike,Oscar Kilo Papa Romeo Mike
LKPR_RUZYNE_Radar_120_520MHz_20201026_130708,TRUE,0.2727,0.4091,0.5455,air france one zero eight zulu standby now descend to descend flight level seven zero air fon onez,now air france one zero eight zulu standby now descend flight level seven zero air ##on onez,Air France One Zero Eight descend to flight level seven zero now descend flight level seven zero air ##on onez,,standby,descend to flight level seven zero,air france one zero eight zulu,Air France One Zero Eight
LKPR_RUZYNE_Radar_120_520MHz_20201026_142311,TRUE,0.2632,0.7895,0.8421,ry air nine two bravo quebec turn right heading zero nine zero ninnine zero degrees ryan ir nine two bravo quebec,right RYAN AIR turn heading zero nine zero ninnine zero degrees ryan right,RYANAIR 92BQ turn right heading zero nine zero heading zero nine zero ninnine zero degrees ryan right,,turn,turn right heading zero nine zero,RYAN AIR,RYANAIR 92BQ
LKPR_RUZYNE_Radar_120_520MHz_20201026_144339,TRUE,0.2679,0.875,0.875,radar sky travel four three two papa passing nineteen hundred climbing to five thousand sky travel four three two papa praha radar itif climb flight level one six zero climb to flight level one six zero sky travel four three two papa,Prague Radar sky travel four three two papa climb,Prague Radar sky travel four three two papa climb,,climb,climb,sky travel four three two papa,sky travel four three two papa
LKPR_RUZYNE_Radar_120_520MHz_20201026_145941,TRUE,0.1875,0.8125,0.7188,oscar killo hotel please confirm one one holdingoscar kilo hotel hotel hotel affirm one holding and then it should be possible to follow ils runway zero six thank you,##os APOLLO continue one one ##os ##car ##lo one holding and runway zero six,Oscar Kilo Hotel cleared for ILS approach runway 06 one one ##os ##car ##lo one holding and runway zero six,,continue,cleared for ILS approach,APOLLO,Oscar Kilo Hotel
LKPR_RUZYNE_Radar_120_520MHz_20201026_161349,TRUE,0.3571,0.6429,0.5476,radar csa one delta zulu established csa one delta zulu roger contact ruzyne tower one three four decimal five six zero three four five six zero csa one delta zulu,Prague Radar CAPITAL DELTA established one three four decimal five six zero three four five six zero,CSA One Delta Zulu contact one three four decimal five six zero one three four decimal five six zero three four five six zero,,established,contact,CAPITAL DELTA,CSA One Delta Zulu
LKPR_RUZYNE_Radar_120_520MHz_20201026_204323,TRUE,0.5484,0.6129,0.6774,w e stillnfirm established ups two nine five contact tower frequency one three four five six zero bye  codnay,Prague Radar established two nine five tower frequency one three four five six zero,Condor confirm established runway two nine one three four decimal five six zero two nine five tower frequency one three four five six zero,,established,confirm established,,Condor
LKPR_RUZYNE_Radar_120_520MHz_20201026_205056,TRUE,0.1852,0.8519,0.4444,klm seven three whiskey maintain present heading for vectoring ils approach runway two four and redeace your speed now below two six zero knots,Prague Radar k maintain now below two six zero knots runway two four,KLM seven three whiskey maintain present heading for vectoring ILS approach reduce speed now below two six zero knots runway two four runway two four,,maintain,maintain present heading for vectoring ILS approach reduce speed,k,KLM seven three whiskey
LKPR_RUZYNE_Radar_120_520MHz_20201027_121714,TRUE,0.3929,0.6429,0.6071,oscar kilo uniform tango charlie read released from frequency flyin information service evalale at one two six decimal one praha information,eva oscar kilo uniform tango charlie read eva ##lale at one two six decimal one,Oscar Kilo Uniform Tango Charlie contact one two six decimal one eva ##lale at one two six decimal one,,read,contact,oscar kilo uniform tango charlie,Oscar Kilo Uniform Tango Charlie
LKPR_RUZYNE_Radar_120_520MHz_20201027_125731,TRUE,0.6667,0.75,0.75,one one eight decimal six five zeroe bye bye o,one one eight decimal six five zeroe,one one eight decimal six five zeroe,,,,,
LKPR_RUZYNE_Radar_120_520MHz_20201028_072404,TRUE,0.25,0.375,0.5,oscar kilo tango oscar papa proceed direct lanux direct lanux oscar k kho oscar ppa,lanux oscar kilo tango oscar papa proceed direct lanux lanux oscar ##ho oscar ppa,Oscar Kilo Tango Oscar Papa line up and wait lanux lanux oscar ##ho oscar ppa,,proceed direct,line up and wait,oscar kilo tango oscar papa,Oscar Kilo Tango Oscar Papa
LKPR_RUZYNE_Radar_120_520MHz_20201028_092412,TRUE,0.0333,0.7333,0.4333,oscar uniform romeo turn left heading two seven zero cleared for ils approach runway two four turn left two seven zero cleared for ils runway two four oscar uniform romeo,Prague Radar ECHO ROMEO turn left heading two seven zero runway two four turn left two seven zero runway two four,Oscar Uniform Romeo turn left heading two seven zero cleared for ILS approach runway two four left heading two seven zero runway two four turn left two seven zero runway two four,,turn,turn left heading two seven zero cleared for ILS approach,ECHO ROMEO,Oscar Uniform Romeo
LKPR_RUZYNE_Radar_120_520MHz_20201028_095055,TRUE,0.0385,0.5385,0.5385,lufthansa nine tango papa contact praha radar one two zero decimal two seven five bye bye lufthansa nine tango papa two zero two seven five bye,Prague Radar LUGO contact one two zero decimal two seven five two zero two seven five,bye bye Lufthansa 9TP contact 120.275 one two zero decimal two seven five two zero two seven five,,contact,contact,LUGO,Lufthansa 9TP
LKPR_RUZYNE_Radar_120_520MHz_20201028_131433,TRUE,0.4521,0.6438,0.6164,praha radar oscar kilo reform tango charlie passing three thousand  nine hundred climbing light level seven zero inbound l ready for f oscar kilonfom tango charlie praha radar identified climb flight level seven zero and clear to destinationflght plan route ofarflit tars now time one three one four,Prague Radar PRAVI passing three thousand nine hundred light level seven zero inbound l ready for f oscar flight level seven zero ##flght plan route ofarflit tars now time one three one four,Oscar Kilo Romeo Tango Charlie climb flight level seven zero three thousand nine hundred light level seven zero inbound l ready for f oscar flight level seven zero ##flght plan route ofarflit tars now time one three one four,,passing,climb flight level seven zero,PRAVI,Oscar Kilo Romeo Tango Charlie
LKPR_RUZYNE_Radar_120_520MHz_20201028_151125,TRUE,0.3333,0.9333,0.9333,csa one delta zulu descend flight level one hundred no speed restrictions descending flight level one unde free speed csa one delta zulu,flight level one hundred no speed restrictions CAPITAL DELTA descend flight level one hundred no speed restrictions flight level one unde free speed,flight level one hundred no speed restrictions CAPITAL DELTA descend flight level one hundred no speed restrictions flight level one unde free speed,,descend,descend,CAPITAL DELTA,CAPITAL DELTA
LKPR_RUZYNE_Radar_120_520MHz_20201029_051226,TRUE,0.3421,0.6316,0.4737,klm one three five zero sorry go ahead contact radar one two zero two seven five one two zero two seven five klm one three five zero,Prague Radar k contact radar one two zero two seven five one two zero two seven five,KLM One Three Five Zero contact one two zero decimal two seven five radar one two zero two seven five one two zero two seven five,,contact,contact,k,KLM One Three Five Zero
LKPR_RUZYNE_Radar_120_520MHz_20201029_075414,TRUE,0.1875,0.625,0.625,oscar kilo tango uniform romeo praha radar hello identified climb to flight level seven zero and standby for ifar climbing to flight level seven zero oscar ki romeo,Prague Radar oscar kilo tango uniform romeo climb flight level seven zero flight level seven zero,Prague Radar oscar kilo tango uniform romeo climb flight level seven zero flight level seven zero,,climb,climb,oscar kilo tango uniform romeo,oscar kilo tango uniform romeo
LKPR_RUZYNE_Radar_120_520MHz_20201029_094626,TRUE,0.1923,0.5385,0.6538,lufthansa nine tango papa contact praha radar one two zero decimal two seven five good bye one two zero two seven five bye byetango by,Prague Radar LUGO contact one two zero decimal two seven five one two zero two seven five by,goodbye Lufthansa 9TP contact 120.275 one two zero decimal two seven five one two zero two seven five by,,contact,contact,LUGO,Lufthansa 9TP
LKPR_RUZYNE_Radar_120_520MHz_20201029_151332,TRUE,0.3846,0.8462,0.6923,oscar kilo mike charlie charlie praha radar you are idatif flight level seven zero afte baltu proceed to bnesov,Prague Radar HOTEL CHARLIE radar flight level seven zero afte bnesov,Prague Radar Oscar Kilo Mike Charlie Charlie radar contact flight level seven zero afte bnesov,,radar,radar contact,HOTEL CHARLIE,Oscar Kilo Mike Charlie Charlie
LKPR_RUZYNE_Radar_120_520MHz_20201029_161709,TRUE,0.75,0.7917,1,rin air six nine zero juliett contact ruzyne tower one three four decimal five six zero one three four five six zero netain nine six nine zero juliett,Prague Radar KAN AIR contact one three four decimal five six zero one three four five six zero,AIR NIAMEY 690 contact one three four decimal five six zero one three four decimal five six zero one three four five six zero,,contact,contact,KAN AIR,AIR NIAMEY 690
LKPR_RUZYNE_Radar_120_520MHz_20201029_205125,TRUE,0.6,0.7,0.5667,klm seven three whiskey r speed one six zero knots till fourtyme six to forty klm seven thre whiskey,r k speed one six zero knots till fourtyme six to forty r thre whiskey,KLM seven three whiskey reduce speed one six zero degrees one six zero knots till four time six to forty r thre whiskey,,speed,reduce speed,k,KLM seven three whiskey
LKPR_RUZYNE_Tower_134_560MHz_20201025_090915,TRUE,0.4118,0.8235,0.8235,departure it s baltu four alfa to climb five thousand feet,Prague Tower BLUE ALFA departure it five thousand feet,BALTAIR climb it five thousand feet,,departure,climb,BLUE ALFA,BALTAIR
LKPR_RUZYNE_Tower_134_560MHz_20201026_153217,TRUE,0.64,0.76,0.72,aaaaecho chari tango papa line up runway two four runway line up run bbo bab b biet bapap,runway two four runway line AL-AAS line up runway two four runway line bbo bab b ##et bapap,ANSETT line up and wait runway 24 runway two four runway line bbo bab b ##et bapap,,line up,line up and wait,AL-AAS,ANSETT
LKPR_RUZYNE_Tower_134_560MHz_20201026_160035,TRUE,0.2941,1,1,seven six two continue charlie lima quebec quebec five behing some tand mike one bravo,SEVENAIR continue,SEVENAIR continue,,continue,continue,SEVENAIR,SEVENAIR
LKPR_RUZYNE_Tower_134_560MHz_20201027_135214,TRUE,0.5294,1,0.8235,rone bravo alfa stand five seven qnh one zero one throe requesting,##roe AIR BRAVO qnh stand five seven ##roe,BRAVO line up and wait one zero one three ##roe,,qnh,line up and wait,AIR BRAVO,BRAVO
LKPR_RUZYNE_Tower_134_560MHz_20201027_135224,TRUE,0.6,0.6667,0.7333,neria one bravo alfa fis approved o approvedone bravo alfa,Prague Tower neria one bravo alfa approved fis o approved ##one bravo alfa,November One Bravo Alpha cleared for takeoff fis o approved ##one bravo alfa,,approved,cleared for takeoff,neria one bravo alfa,November One Bravo Alpha
LKPR_RUZYNE_Tower_134_560MHz_20201027_213741,TRUE,0.1892,0.7568,0.7027,ok quality four zero nine one ruzyne tower information lima qnh one zero one four time check three seven cleared to  baltu for alfa departure initial climb five thousand feet and squawk one thousand,Prague Tower four zero nine one cleared to land one zero one four bal alfa departure,Quality Four Zero Nine One cleared to Baltu for Alfa departure initial climb five thousand feet and squawk one thousand one zero one four bal alfa departure,,cleared to land,cleared to Baltu for Alfa departure initial climb five thousand feet and squawk one thousand,four zero nine one,Quality Four Zero Nine One
LKPR_RUZYNE_Tower_134_560MHz_20201028_103443,TRUE,0.2581,0.6129,0.4516,csa nine one niget taxi holding point runway two four to the right via delta bravo taxi delta bravo reach point two four csa nine one eight,holding point runway two four to the right csa nine one reach holding point runway two four to the right via delta bravo taxi delta point two four,CSA 918 taxi holding point runway 24 holding point runway two four to the right via delta bravo taxi delta point two four,,reach,taxi holding point,csa nine one,CSA 918
LKPR_RUZYNE_Tower_134_560MHz_20201028_111034,TRUE,0.4857,0.6571,0.4571,emirates one three nine taxvia foxtrot cross runway one two golf juliett stand one four alfafont fo foroo runway one two zweroo altare zeat une onea alanene onethtree nine,runway one two golf juliett emirates one three nine cross runway one two golf juliett stand one four alfa ##nt fo foroo runway one two zweroo une onea alanene onethtree nine,Emirates One Three Nine taxi via Foxtrot cross runway one two Golf Juliett stand one four Runway One Two runway one two golf juliett stand one four alfa ##nt fo foroo runway one two zweroo une onea alanene onethtree nine,,cross,taxi via Foxtrot cross runway one two Golf Juliett stand one four,emirates one three nine,Emirates One Three Nine
LKPR_RUZYNE_Tower_134_560MHz_20201028_152306,TRUE,0.4426,0.7705,0.7049,ruzyne tower csa one delta zulu established localizer two four csa one delta zulu ruzyne tower runway two four clear to land wind two two zero degrees one four knots cleare to land runway two four csa one dtelta zulu,Prague Tower CAPITAL DELTA established two two zero degrees one four knots two four runway two four runway two four csa one,CSA One Delta Zulu cleared to land two two zero degrees one four knots runway two four two four runway two four runway two four csa one,,established,cleared to land,CAPITAL DELTA,CSA One Delta Zulu
LKPR_RUZYNE_Tower_134_560MHz_20201029_205008,TRUE,0.3265,0.7143,0.6122,ruzyne tower ps two nine five ils two four nine good evening ups two nine five ruzyne tower runway two four clear to land wind two three zero degrees one three knotsn two four cleare land ips two ine five,Prague Tower good evening ps two nine five il two three zero degrees one three knotsn two four two four nine two nine five runway two four ips two ine five,good evening UPS Two Nine Five cleared to land two three zero degrees one three knots runway two four two four nine two nine five runway two four ips two ine five,,il,cleared to land,ps two nine five,UPS Two Nine Five
LKTB_BRNO_Approach-Radar_127_350MHz_20201026_092727,TRUE,0.0909,0.5455,0.4545,o kilo echo lima alfa climb to flight level seven zero,flight level seven zero o kilo echo lima alfa climb flight level seven zero,Oscar Kilo Echo Lima Alpha climb to flight level seven zero flight level seven zero,,climb,climb to flight level seven zero,o kilo echo lima alfa,Oscar Kilo Echo Lima Alpha
LKTB_BRNO_Approach-Radar_127_350MHz_20201026_093600,TRUE,0,0.25,0.25,oscar kilo india foxtrot romeo contact praha radar one two seven decimal five eight zero bye,oscar kilo india contact one two seven decimal five eight zero bye,oscar kilo india contact one two seven decimal five eight zero bye,,contact,contact,oscar kilo india,oscar kilo india
LKTB_BRNO_Approach-Radar_127_350MHz_20201026_111634,TRUE,0.1538,0.3077,0.1538,oscar kilo echo lima alfa cnform proceeding to tango bravo four zero two,tango oscar kilo echo lima alfa proceeding to tango four zero two,Oscar Kilo Echo Lima Alfa confirm proceeding to tango four zero two,,proceeding to,confirm proceeding to,oscar kilo echo lima alfa,Oscar Kilo Echo Lima Alfa
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_095221,TRUE,0.1818,0.5,0.6364,oscar kilo bravo alfa lima after pukup descend to three thousand feet cleared mte approach runway two seven report established,after oscar kilo bravo alfa lima descend after puku ##p three thousand feet runway two seven established,Oscar Kilo Bravo Alpha Lima descend to three thousand feet cleared ILS approach runway two seven after puku ##p three thousand feet runway two seven established,,descend,descend to three thousand feet cleared ILS approach,oscar kilo bravo alfa lima,Oscar Kilo Bravo Alpha Lima
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_114659,TRUE,0.1818,0.3636,0.2727,ocar kilo bravo alfa lima request shortcut to if possible,if possible ocar kilo bravo alfa lima request shortcut to if possible,Oscar Kilo Bravo Alpha Lima request shortcut if possible,,request shortcut to,request shortcut,ocar kilo bravo alfa lima,Oscar Kilo Bravo Alpha Lima
LKTB_BRNO_Approach-Radar_127_350MHz_20201027_140348,TRUE,0.4762,0.8095,1.2857,or lima papa victor stang bye for runway zero nine fo folow tomka four charlie arrival due to departureono,for runway zero nine OREX arrival for runway zero nine ##o due to ##ono,for runway zero nine ORANGE SIERRA cleared for takeoff runway 09 for runway zero nine ##o due to ##ono,,arrival,cleared for takeoff,OREX,ORANGE SIERRA
LKTB_BRNO_Approach-Radar_127_350MHz_20201028_090451,TRUE,0.5357,0.8571,0.7857,osca kilo mike charlie charlie after rulo approach climb straight ahead four thousand feet after apprach,straight ahead four thousand feet after apprach HOTEL CHARLIE after straight ahead four thousand feet after apprach,straight ahead four thousand feet after apprach Oscar Kilo Mike Charlie Charlie cleared for takeoff straight ahead four thousand feet after apprach,,after,cleared for takeoff,HOTEL CHARLIE,Oscar Kilo Mike Charlie Charlie
LKTB_BRNO_Approach-Radar_127_350MHz_20201028_132938,TRUE,0.3043,0.7391,0.5652,osar tango charlie roger oscar kilo kilo klo whiskey information mike qnh one zero one six too four charlie arrival,mike PHOTO CHARLIE qnh one zero one six too four charlie arrival mike,Oscar Tango Charlie Oscar Kilo Kilo arrival one zero one six mike,,qnh,arrival,PHOTO CHARLIE,Oscar Tango Charlie Oscar Kilo Kilo
LSGS_SION_Ground_Control_121_7MHz_20210502_065945,TRUE,0.375,0.625,2.125,we are not ready now foxtroo ia delto,now fox we are not ready now del,FOX FLIGHT line up and wait runway 18 now del,,we are not ready,line up and wait,fox,FOX FLIGHT
LSGS_SION_Ground_Control_121_7MHz_20210502_070235,TRUE,0.45,0.95,0.5,foxtrot lima delta taxi tolinpon bravo runway two fiveine bravo runray two five fixtrot lia delta,##lin FOXTROT FOXTROT taxi via ##lin ##pon bravo runway two five ##ine bravo two five,Foxtrot Lima Delta cleared for takeoff runway two five ##lin ##pon bravo runway two five ##ine bravo two five,,taxi via,cleared for takeoff,FOXTROT FOXTROT,Foxtrot Lima Delta
LSGS_SION_Ground_Control_121_7MHz_20210502_071049,TRUE,0.3571,0.3571,0.5714,yn tower beair nine five one established on the ils runway two five,Sion Ground ##ir nine five one established on the ils runway two five,Sion Tower Belair 951 established on the ILS runway 25 runway two five,,established on the ils,established on the ILS,##ir nine five one,Belair 951
LSGS_SION_Ground_Control_121_7MHz_20210502_071809,TRUE,0.4375,0.6875,0.6875,foxo lima delta runway two five cirec d two five foxrot lima delta,runway two five foxo lima delta runway two five five,Foxo Lima Delta cleared for takeoff runway 25 runway two five five,,,cleared for takeoff,foxo lima delta,Foxo Lima Delta
LSGS_SION_Ground_Control_121_7MHz_20210502_073058,TRUE,0.4444,1.2222,0.8333,foxtrot lima delta ind two five zero two one two nin runway two fivetov detata,##ata FOXTROT FOXTROT det two five zero two one two nin runway two fivetov ##ata,Foxtrot Lima Delta India Two Five Zero cleared for takeoff runway two five two five zero two one two nin runway two fivetov ##ata,,det,cleared for takeoff,FOXTROT FOXTROT,Foxtrot Lima Delta India Two Five Zero
LSGS_SION_Ground_Control_121_7MHz_20210502_092024,TRUE,0.7778,0.7778,0.7778,two two hotelszo,two two hotelszo,two two hotelszo,,,,,
LSGS_SION_Ground_Control_121_7MHz_20210502_114312,TRUE,0.1333,0.5333,0.3333,november hotel juliett vacate next lft intersection golf and then taxi to honading point delta,##ft november hotel juliett va ##ft intersection golf point delta,November Hotel Juliet vacate next left intersection Golf and then taxi to holding point Delta ##ft intersection golf point delta,,va,vacate next left intersection Golf and then taxi to holding point Delta,november hotel juliett,November Hotel Juliet
LSGS_SION_Ground_Control_121_7MHz_20210502_121507,TRUE,0.1818,0.4545,0.5455,november hotel juliett precing traffic is joining downland wind one corestion two six zero degrees one nine knots two five cleared for takeoff report passing one three thousand feet in climb,##tion november hotel juliett cleared for takeoff two six zero degrees one nine knots two five one ##tion passing one three thousand feet in climb,November Hotel Juliet cleared for takeoff two six zero degrees one nine knots one ##tion passing one three thousand feet in climb,,cleared for takeoff,cleared for takeoff,november hotel juliett,November Hotel Juliet
LSGS_SION_Ground_Control_121_7MHz_20210502_122439,TRUE,0.6071,0.6071,0.6786,othet echo xray wind two five zero degrees one eight knos runway two fivetango two fivet,##o ot wind two five zero degrees one eight knos runway two five ##o two fivet,ORIENTROC cleared for takeoff two five zero degrees one eight knots runway 25 ##o two fivet,,wind,cleared for takeoff,ot,ORIENTROC
LSGS_SION_Ground_Control_121_7MHz_20210502_123002,TRUE,0.8333,0.8333,0.8889,ed for stop landing on the two fivefiveyy bye,the for stop landing on the two fivefi,cleared to land runway 25 the two fivefi,,for stop landing on,cleared to land,,
LSGS_SION_Ground_Control_121_7MHz_20210502_134316,TRUE,0.6667,1,1,three teve tango del faasy,del del,del del,,,,,
LSGS_SION_Ground_Control_121_7MHz_20210502_134810,TRUE,0.2273,1.1364,0.5,delta whiskey wind two five zero degree two two knots runway two five cleare to land cleare to land hotel  fais,hotel SIERRA WHISKEY cleared to land two five zero degree two two knots runway two five hotel ##s,Delta Whiskey cleared to land two five zero degrees two two knots runway two five hotel ##s,,cleared to land,cleared to land,SIERRA WHISKEY,Delta Whiskey
LSGS_SION_Ground_Control_121_7MHz_20210502_145713,TRUE,0.4848,0.697,0.6364,ej ib mie fie moe lyike juliett lima wind two four zero degrees one seven knots une two five clear to land one two five ie mye juliett immou,TANGO LIMA cleared to land two four zero degrees one seven knots une two five one two five,Juliet Lima cleared to land two four zero degrees one seven knots runway one two five one two five,,cleared to land,cleared to land,TANGO LIMA,Juliet Lima
LSGS_SION_Ground_Control_121_7MHz_20210502_152026,TRUE,0.5455,1,0.9394,uniform golf wind two four zero degrees one four knots rue two five l takeof i oot eapproved report living de takeoff o report d in uniorm,living de takeoff LUXOR GOLF report two four zero degrees one four knots rue two five l living de takeoff o d in uniorm,"Uniform Golf cleared for takeoff, report leaving the runway, report clear of the runway two four zero degrees one four knots runway two five left living de takeoff o d in uniorm",,report,"cleared for takeoff, report leaving the runway, report clear of the runway",LUXOR GOLF,Uniform Golf
LSGS_SION_Ground_Control_121_7MHz_20210502_163416,TRUE,0.7333,0.7333,0.8,odelta pa mike down two five godowwinze two five pata pa a my,pa a my odelta pa mike two five two five pa a my,DOMENICAN descend to flight level two five zero two five two five pa a my,,,descend to flight level two five zero,odelta pa mike,DOMENICAN
LSGS_SION_Ground_Control_121_7MHz_20210502_164016,TRUE,0.7333,1,0.7333,hoel papa mike wen peed is  control to vakatat alfa,Sion Ground AIR MIKE is,Hotel Papa Mike speed,,is,speed,AIR MIKE,Hotel Papa Mike
LSGS_SION_Ground_Control_121_7MHz_20210502_164140,TRUE,0.7273,0.7273,0.7727,mike vok to the left  then strght further at line to the leftand andepa pa bye,to the left ##k to the left then strght further at line to the left pa bye,Mike Vok turn left to the left then strght further at line to the left pa bye,,##k,turn left,,Mike Vok
LSGS_SION_Ground_Control_121_7MHz_20210502_164218,TRUE,0.4167,0.7917,0.6667,mike wi par mike continue for rhate two zero miiters and then well be first yellow line to the right,##hate AIR MIKE continue ##hate two zero miiters line to the right,Mike Whiskey Papa Mike continue runway 20 ##hate two zero miiters line to the right,,continue,continue,AIR MIKE,Mike Whiskey Papa Mike
LSGS_SION_Ground_Control_121_7MHz_20210502_164237,TRUE,0.5806,0.7419,0.7419,brother like parkin is tolmae one zero but it s with not sasing two dayso if able mke to bark bak at parking one zero,ba is one zero two dayso if ba at parking one zero,is one zero two dayso if ba at parking one zero,,is,is,,
LSGS_SION_Ground_Control_121_7MHz_20210502_164322,TRUE,0.5333,1,1,ho palpa mike bef thank you very much very much teby bye byke,AIR MIKE,AIR MIKE,,,,AIR MIKE,AIR MIKE
LSGS_SION_Ground_Control_121_7MHz_20210503_051653,TRUE,0.9286,1,1,uesti two thoundand zeroeve,zeroeve,zeroeve,,,,,
LSGS_SION_Ground_Control_121_7MHz_20210503_062127,TRUE,1,1,1,alima imaliva two two,ALIA two two,ALIA two two,,,,ALIA,ALIA
LSGS_SION_Ground_Control_121_7MHz_20210503_062134,TRUE,0.6364,1.0909,1.0909,hote hotel ya two five and discretion,HOTEL TANGO five and discretion,HOTEL TANGO five and discretion,,,,HOTEL TANGO,HOTEL TANGO
LSGS_SION_Ground_Control_121_7MHz_20210503_071945,TRUE,0.4571,0.8571,0.7143,tongo three six five  tower  qnh one zero two three report hotel nuvember runway two five in ou two three un two five ahotenovembe five,Sion Ground ##o report one zero two three ##otenov,Tongo Three Six Five report holding one zero two three Runway Two Five ##otenov,,report,report holding,##o,Tongo Three Six Five
