file,segment_id,start,end,gold_text,gold_clean_text
YSSY_SYDNEY_Tower_120_5MHz_20210502_211912.xml,1,1.99,3.19,[#callsign]Jetstar Nine Twelve[/#callsign],Jetstar Nine Twelve
YSSY_SYDNEY_Tower_120_5MHz_20210501_200237.xml,0,0,2.86,[#callsign]Twinjet Five Zero[/#callsign] on a [#unnamed]short delay[/#unnamed] [#command]waiting[/#command] [#value]on our release from the back[/#value],Twinjet Five Zero on a short delay waiting on our release from the back
LSGS_SION_Tower_118_3MHz_20210503_153823.xml,0,0.1,2.02,[#unnamed]roger did you do a planification[/#unnamed],roger did you do a planification
YSSY_SYDNEY_Tower_120_5MHz_20210502_041102.xml,0,0.08,2.71,[#unnamed]Sydney tower[/#unnamed] [#callsign]Jetstar Seven Sixty Seven[/#callsign],Sydney tower Jetstar Seven Sixty Seven
YSSY_SYDNEY_Tower_120_5MHz_20210502_041102.xml,1,2.84,5.23,[#callsign]Jetstar Seven Sixty Seven[/#callsign] [#unnamed]Sydney tower[/#unnamed],Jetstar Seven Sixty Seven Sydney tower
LSGS_SION_Ground_Control_121_7MHz_20210502_164140.xml,0,0.39,4.04,[#callsign]Papa Mike [/#callsign] [#command]vacate to the left[/#command] and then [#command]straight ahead[/#command] [#value]until further advised[/#value],Papa Mike  vacate to the left and then straight ahead until further advised
LSGS_SION_Ground_Control_121_7MHz_20210502_164140.xml,1,4.72,7.87,[#command]the left[/#command] and then [#command]straight ahead[/#command] [#callsign] Hotel Papa Mike[/#callsign],the left and then straight ahead  Hotel Papa Mike
YSSY_SYDNEY_Tower_120_5MHz_20210427_042838.xml,0,0.24,3.23,[#value]runway one six right[/#value] [#command]cleared to land[/#command] [#callsign]pass  Seven[/#callsign]   [#callsign] Six[/#callsign]   [#callsign] Seven[/#callsign],runway one six right cleared to land pass  Seven    Six    Seven
LSZH_ZURICH_Tower_118_1MHz_20210414_083710.xml,0,0.16,4.88,[#unnamed]Tower[/#unnamed] [#unnamed] [NE-German] guten morgen [/NE][/#unnamed] [#callsign]Swiss One Nine Seven heavy[/#callsign] [#unnamed]RNP[/#unnamed] [#value]one four[/#value] [#command]established[/#command],Tower  [NE-German] guten morgen [/NE] Swiss One Nine Seven heavy RNP one four established
LSZH_ZURICH_Tower_118_1MHz_20210414_083710.xml,1,5.32,15.19,[#callsign]Swiss One Nine Seven[/#callsign] [#unnamed]Tower[/#unnamed] [#unnamed] [NE-German]guten morgen[/NE][/#unnamed] [#unnamed]wind[/#unnamed] [#value]zero eight zero degrees[/#value] [#value]one two knots[/#value] [#value]gusting one nine[/#value] [#value]runway one four[/#value]   [#command]cleared to land[/#command] [#command] vacate[/#command] [#value]hotel two[/#value],Swiss One Nine Seven Tower  [NE-German]guten morgen[/NE] wind zero eight zero degrees one two knots gusting one nine runway one four   cleared to land  vacate hotel two
YSSY_SYDNEY_Tower_120_5MHz_20210504_093243.xml,0,0,4.58,[#unnamed]tower Connie[/#unnamed] [hes] [#callsign]Eight Thirty Five[/#callsign] [#command]on the ILS[/#command] [#value]one six three[/#value],tower Connie [hes] Eight Thirty Five on the ILS one six three
LKPR_RUZYNE_Radar_120_520MHz_20201027_125731.xml,0,0,5.73,[#value]one one eight decimal one[/#value] [hes] [#callsign]Six Five Zero[/#callsign],one one eight decimal one [hes] Six Five Zero
LKPR_RUZYNE_Radar_120_520MHz_20201027_125731.xml,1,5.73,7.16,that's it [#unnamed]bye bye[/#unnamed],that's it bye bye
LKPR_RUZYNE_Radar_120_520MHz_20201027_125731.xml,2,7.16,8.22,[#unnamed] [NE Czech]děkujem na slyšenou[/NE][/#unnamed],[NE Czech]děkujem na slyšenou[/NE]
LKPR_RUZYNE_Radar_120_520MHz_20201027_125731.xml,3,8.22,9.14,[#unnamed]  [NE Czech]na slyšenou[/NE][/#unnamed],[NE Czech]na slyšenou[/NE]
LSZB_BERN_Tower_121_0MHz_20210421_094113.xml,0,0,7.05,[#callsign]Hotel Golf Papa[/#callsign] [#unnamed]unknown VFR traffic a helicopter[/#unnamed]     [#value]at your eleven o'clock position[/#value]  [#value]two miles[/#value]  [#value]same altitude[/#value]  [#value]opposite direction[/#value],Hotel Golf Papa unknown VFR traffic a helicopter     at your eleven o'clock position  two miles  same altitude  opposite direction
LKPR_RUZYNE_Tower_134_560MHz_20201026_153217.xml,0,0.05,5.61,[noise],[noise]
LKPR_RUZYNE_Tower_134_560MHz_20201026_153217.xml,1,5.66,8.96,[#callsign]Oscar Kilo Charlie Tango Papa[/#callsign] [#command]line up[/#command] [#value]runway two four[/#value] and [#command]wait[/#command],Oscar Kilo Charlie Tango Papa line up runway two four and wait
LKPR_RUZYNE_Tower_134_560MHz_20201026_153217.xml,2,9.13,12.54,[#command]line up[/#command] [#value]runway two four[/#value] and [#command]wait[/#command] [#callsign]Oscar Kilo Charlie Tango Papa[/#callsign],line up runway two four and wait Oscar Kilo Charlie Tango Papa
LKPR_RUZYNE_Tower_134_560MHz_20201028_152306.xml,0,0,6.68,[#unnamed]Ruzyne Tower[/#unnamed] [#callsign]CSA One Delta Zulu[/#callsign] [hes] [#unnamed] [NE Czech] dobrý podvečer [/NE][/#unnamed] [#command]established[/#command] [#value]localizer two four[/#value],Ruzyne Tower CSA One Delta Zulu [hes]  [NE Czech] dobrý podvečer [/NE] established localizer two four
LKPR_RUZYNE_Tower_134_560MHz_20201028_152306.xml,1,6.68,13.14,[#unnamed]  [NE] dobrý den [/NE][/#unnamed] [#callsign]CSA One Delta Zulu[/#callsign] [#unnamed]Ruzyne Tower[/#unnamed] [#value]runway two four[/#value] [#command]cleared to land[/#command] [#unnamed]wind[/#unnamed]    [#value]two two zero degrees[/#value]   [#value]one four knots[/#value],[NE] dobrý den [/NE] CSA One Delta Zulu Ruzyne Tower runway two four cleared to land wind    two two zero degrees   one four knots
LKPR_RUZYNE_Tower_134_560MHz_20201028_152306.xml,2,13.16,17.71,are [#command]cleared to land[/#command] [#value]runway two four[/#value] [#callsign]CSA One Delta Zulu[/#callsign],are cleared to land runway two four CSA One Delta Zulu
LSGS_SION_Ground_Control_121_7MHz_20210502_071809.xml,0,0.2,2.63,[#callsign]Foxtrot Lima Delta [/#callsign] [#command]join[/#command] [#value]downwind runway two five[/#value],Foxtrot Lima Delta  join downwind runway two five
LSGS_SION_Ground_Control_121_7MHz_20210502_071809.xml,1,3.06,5.87,[#command]tourning[/#command] [#value]downwind runway  two five[/#value] [#callsign] Foxtrot Lima Delta[/#callsign],tourning downwind runway  two five  Foxtrot Lima Delta
LSZH_ZURICH_Tower_118_1MHz_20210412_205041.xml,0,0.14,5.09,[#callsign]Swiss Ambulance Six One[/#callsign] [#unnamed]wind[/#unnamed]    [#value]zero three zero degrees[/#value]  [#value]four knots[/#value]   [#value]runway three two[/#value] [#command]cleared takeoff[/#command],Swiss Ambulance Six One wind    zero three zero degrees  four knots   runway three two cleared takeoff
LSZH_ZURICH_Tower_118_1MHz_20210412_205041.xml,1,5.4,8.09,[#unnamed]hi[/#unnamed] [#value]three two[/#value] [#command]cleared takeoff[/#command] [#callsign]Swiss Ambulance Six One[/#callsign],hi three two cleared takeoff Swiss Ambulance Six One
LSGS_SION_Tower_118_3MHz_20210504_061821.xml,0,0.11,2.76,[#callsign]Heli Oscar Zulu[/#callsign] [#command]frequency change approved[/#command] [#unnamed] [NE-German]schone[/NE][/#unnamed],Heli Oscar Zulu frequency change approved  [NE-German]schone[/NE]
LSGS_SION_Tower_118_3MHz_20210504_061821.xml,1,3.08,4.46,[#unnamed] [NE-German]beste schone[/NE][/#unnamed] [#callsign]Heli Oscar Zulu[/#callsign],[NE-German]beste schone[/NE] Heli Oscar Zulu
LSGS_SION_Ground_Control_121_7MHz_20210502_164016.xml,0,0.14,4.51,[#callsign]Hotel Papa Mike one[/#callsign] [#unnamed]speed visual control[/#unnamed] [#command]make[/#command] [#value]one eighteen[/#value] [#command]backtrack to vacate at[/#command] [#value]alpha[/#value],Hotel Papa Mike one speed visual control make one eighteen backtrack to vacate at alpha
YSSY_SYDNEY_Tower_120_5MHz_20210502_012016.xml,0,0,2.97,[#callsign]Jetstar Four Zero Nine[/#callsign] [#command]approved[/#command] [#value]route to bravo four[/#value],Jetstar Four Zero Nine approved route to bravo four
YSSY_SYDNEY_Tower_120_5MHz_20210502_012016.xml,1,3.05,5.36,[#command]approved[/#command] [#value]bravo four[/#value] [#unnamed]thank you[/#unnamed] [#callsign]Jetstar Four Zero Nine[/#callsign],approved bravo four thank you Jetstar Four Zero Nine
LSGS_SION_Tower_118_3MHz_20210503_152021.xml,0,0.19,2.52,[hes] [#unnamed]next is[/#unnamed] [#value]bravo[/#value] [#callsign]Nav Checker Five One One[/#callsign],[hes] next is bravo Nav Checker Five One One
LSGS_SION_Tower_118_3MHz_20210503_152021.xml,1,2.71,6.9,[#callsign]Nav Checker Five One One[/#callsign] [#unnamed]roger QNH[/#unnamed] [#value]one zero one seven[/#value] [#command]reported in and go[/#command],Nav Checker Five One One roger QNH one zero one seven reported in and go
LKPR_RUZYNE_Tower_134_560MHz_20201025_204809.xml,0,0.06,4.01,Ruzyne tower [#callsign]Trans Europe Four Two One[/#callsign] [Ne Czech] dobrý večer [/Ne] [#command]establish[/#command] localizer [#value]two four[/#value],Ruzyne tower Trans Europe Four Two One [Ne Czech] dobrý večer [/Ne] establish localizer two four
LKPR_RUZYNE_Tower_134_560MHz_20201025_204809.xml,1,4.76,8.98,[#callsign]Trans Europe Four Two One[/#callsign] [Ne Czech] dobrý večer [/Ne] Ruzyne tower [#command]continue approach[/#command] runway [#value]two four[/#value],Trans Europe Four Two One [Ne Czech] dobrý večer [/Ne] Ruzyne tower continue approach runway two four
LKPR_RUZYNE_Tower_134_560MHz_20201025_204809.xml,2,9.24,12.18,[#command]continue approach[/#command] runway [#value]two four[/#value] [#callsign]Trans Europe Four Two One[/#callsign],continue approach runway two four Trans Europe Four Two One
LSZB_BERN_Tower_121_0MHz_20210415_124802.xml,0,0.19,7.91,[#callsign]Hotel Golf Oscar[/#callsign] [#unnamed]lift control[/#unnamed] [#value]lima[/#value] [#unnamed]route[/#unnamed] [#value]sierra[/#value] [#unnamed]wind[/#unnamed]    [#value]zero four zero degrees[/#value]   [#value]one three knots[/#value]   [#value]runway three two[/#value] [#command]cleared for takeoff[/#command],Hotel Golf Oscar lift control lima route sierra wind    zero four zero degrees   one three knots   runway three two cleared for takeoff
LSGS_SION_Ground_Control_121_7MHz_20210420_142949.xml,0,0.07,2.2,[#callsign]One Zero One Two[/#callsign] [#value]runway two seven[/#value] [#unnamed]bye bye[/#unnamed],One Zero One Two runway two seven bye bye
LSZB_BERN_Approach_127_3MHz_20210413_161203.xml,0,0,4.14,[#callsign]November Mike Alpha[/#callsign] [#unnamed]roger[/#unnamed] and you are [#command]recleared straight in ILS approach[/#command] [#value]one four[/#value],November Mike Alpha roger and you are recleared straight in ILS approach one four
YSSY_SYDNEY_Tower_120_5MHz_20210504_004629.xml,0,0.41,2.62,[#value]runway one six right[/#value] [#command]cleared to land[/#command] [#callsign]Jetstar  Five[/#callsign]   [#callsign] Zero[/#callsign]   [#callsign] Eight[/#callsign],runway one six right cleared to land Jetstar  Five    Zero    Eight
LSZB_BERN_Tower_121_0MHz_20210414_073411.xml,0,0,3.13,[#callsign]Hotel Quebec Mike[/#callsign] I [#command]confirm cleared to land[/#command] [#value]runway one four[/#value],Hotel Quebec Mike I confirm cleared to land runway one four
YSSY_SYDNEY_Tower_120_5MHz_20210503_211113.xml,0,0.28,2.71,[#value]runway one six right[/#value] [#command]cleared to land[/#command] [#callsign]Velocity Eight Zero Three [/#callsign],runway one six right cleared to land Velocity Eight Zero Three
LKPR_RUZYNE_Radar_120_520MHz_20201026_105855.xml,0,0,4.2,[#callsign]Skytravel Three Five Juliett[/#callsign] [#command]turn right heading[/#command] [#value]one eight zero[/#value] [#command]vectoring for spacing[/#command],Skytravel Three Five Juliett turn right heading one eight zero vectoring for spacing
LKPR_RUZYNE_Radar_120_520MHz_20201026_105855.xml,1,4.2,8.29,[hes] [#command]turning right heading[/#command] [#value]one eight zero[/#value] [#callsign]Skytravel Three Five Juliett[/#callsign],[hes] turning right heading one eight zero Skytravel Three Five Juliett
LSZH_ZURICH_Tower_118_1MHz_20210412_155616.xml,0,0.1,3.62,[#unnamed]Zurich tower[/#unnamed] [#callsign]Legend One Two Zero Two[/#callsign] [#unnamed]good afternoon[/#unnamed] [#command]established ILS[/#command] [#value]one four[/#value],Zurich tower Legend One Two Zero Two good afternoon established ILS one four
LSZH_ZURICH_Tower_118_1MHz_20210412_155616.xml,1,3.71,9.76,[#callsign]Legend One Two Zero Two[/#callsign] [#unnamed]tower hello wind[/#unnamed] [#value]one six zero degrees[/#value] [#value]four knots[/#value] [#value]runway one four[/#value] [#command]cleared to land vacate[/#command] [#value]at own discretion[/#value],Legend One Two Zero Two tower hello wind one six zero degrees four knots runway one four cleared to land vacate at own discretion
LSZH_ZURICH_Tower_118_1MHz_20210412_155616.xml,2,10.06,13.98,[#command]cleared to land[/#command] [#value]runway one four[/#value] and [#command]vacate[/#command]   [#value]at own discretion[/#value] [#callsign]Legend One Two Zero Two[/#callsign],cleared to land runway one four and vacate   at own discretion Legend One Two Zero Two
LSZB_BERN_Tower_121_0MHz_20210424_083144.xml,0,0,3.12,[#callsign]Hotel Hotel Oscar[/#callsign] [#unnamed]roger[/#unnamed] [#command]say again[/#command] [#value]the number of the glider[/#value],Hotel Hotel Oscar roger say again the number of the glider
YSSY_SYDNEY_Tower_120_5MHz_20210502_024039.xml,0,0,2.76,[#callsign]Rex Sixty Eight Sixty Eight[/#callsign] [#command]contact[/#command] [#unnamed]departure[/#unnamed],Rex Sixty Eight Sixty Eight contact departure
YSSY_SYDNEY_Tower_120_5MHz_20210502_024039.xml,1,2.89,5.21,[#unnamed]departure[/#unnamed] [#callsign]Rex Sixty Eight Sixty Eight[/#callsign],departure Rex Sixty Eight Sixty Eight
YSSY_SYDNEY_Tower_120_5MHz_20210502_004327.xml,0,0,2.68,[#callsign]China Southern Three Twenty Six[/#callsign] [#command]contact[/#command] [#unnamed]departure[/#unnamed],China Southern Three Twenty Six contact departure
YSSY_SYDNEY_Tower_120_5MHz_20210502_004327.xml,1,2.88,5.08,[#command]contact[/#command] [#unnamed]departure[/#unnamed] [#callsign]China Southern Three Two Six[/#callsign],contact departure China Southern Three Two Six
LSZB_BERN_Approach_127_3MHz_20210414_161919.xml,0,0,3.63,[#callsign]Hotel Golf November[/#callsign] [#unnamed]on downwind[/#unnamed] [#value]runway three two[/#value] [#command]to full stop[/#command],Hotel Golf November on downwind runway three two to full stop
LSZB_BERN_Approach_127_3MHz_20210413_112637.xml,0,0,6.51,[#callsign]Fraction Five Seven Six Hotel[/#callsign] [#command]descend to[/#command] [#value]four thousand feet[/#value] [#command]cleared ARP approach[/#command] [#value]runway one four[/#value] [#command]report[/#command] [#value]airborne track established[/#value],Fraction Five Seven Six Hotel descend to four thousand feet cleared ARP approach runway one four report airborne track established
LSZB_BERN_Tower_121_0MHz_20210415_134749.xml,0,0,6.18,[#callsign]Hotel Oscar Foxtrot Whiskey[/#callsign] [#value]four thousand five hundred feet[/#value] [#command]request to leave frequency[/#command],Hotel Oscar Foxtrot Whiskey four thousand five hundred feet request to leave frequency
LSZB_BERN_Tower_121_0MHz_20210415_134749.xml,1,6.22,8.49,[#callsign]Hotel Oscar Foxtrot[/#callsign] [#command]frequency change approved[/#command],Hotel Oscar Foxtrot frequency change approved
LSZB_BERN_Tower_121_0MHz_20210419_090344.xml,0,0,2.5,[#callsign]Hotel Bravo Tango Echo Echo[/#callsign] [#command]leaving[/#command] [#unnamed]CTR[/#unnamed],Hotel Bravo Tango Echo Echo leaving CTR
LSZB_BERN_Tower_121_0MHz_20210419_090344.xml,1,2.83,5.48,[#callsign]Hotel Echo Echo[/#callsign] [#command]frequency change approved[/#command] [#unnamed]good bye[/#unnamed],Hotel Echo Echo frequency change approved good bye
LSZB_BERN_Tower_121_0MHz_20210416_082152.xml,0,0.35,5.75,[#callsign]Hotel Golf Papa[/#callsign] [#command]continue on[/#command] [#value]the runway[/#value] [#command]vacate via[/#command] [#value]charlie[/#value] then [#command]taxi your discretion[/#command] [#value]blue sector[/#value],Hotel Golf Papa continue on the runway vacate via charlie then taxi your discretion blue sector
LSGS_SION_Tower_118_3MHz_20210415_133129.xml,0,0.17,3.87,[#callsign]Hotel Echo X-ray[/#callsign] [#unnamed]wind[/#unnamed]    [#value]two three zero degrees[/#value]  [#value]six knots[/#value]   [#value]runway two five[/#value] [#command]cleared to land[/#command],Hotel Echo X-ray wind    two three zero degrees  six knots   runway two five cleared to land
LSZB_BERN_Tower_121_0MHz_20210413_141321.xml,0,0,12.19,[#callsign]Delta Charlie Kilo Victor India[/#callsign] [#unnamed]tower hello QNH[/#unnamed] [#value]one zero two seven[/#value] [#command]startup approved[/#command] [#value]runway three two[/#value] [#command]cleared[/#command]  [#value]destination Malta[/#value]     [#value]via the Mebox three bravo[/#value] [#command]departure[/#command],Delta Charlie Kilo Victor India tower hello QNH one zero two seven startup approved runway three two cleared  destination Malta     via the Mebox three bravo departure
LSZB_BERN_Tower_121_0MHz_20210413_141321.xml,1,12.58,19.76,[#value]zulu one four one[/#value] [#command]transition climb[/#command] [#value]initially five thousand feet[/#value] [#unnamed]squawk[/#unnamed] [#value]two seven six zero[/#value],zulu one four one transition climb initially five thousand feet squawk two seven six zero
LSZH_ZURICH_Tower_118_1MHz_20210418_155559.xml,0,3.52,8.42,[#unnamed]hallo[/#unnamed] [#callsign]Bravo Whiskey Zulu Papa[/#callsign] [#unnamed]tower hello into control zone[/#unnamed] [#value]route  echo [/#value] [#unnamed]clearence limit[/#unnamed] [#value] echo  two[/#value],hallo Bravo Whiskey Zulu Papa tower hello into control zone route  echo  clearence limit  echo  two
LSZB_BERN_Tower_121_0MHz_20210413_125843.xml,0,0,4.02,[#callsign]Hotel Golf Papa[/#callsign] [#command]make[/#command] [#value]a one eighty[/#value] [#command]stay clear of[/#command] [#value]the runway[/#value] [#command]taxi to[/#command] [#value]holding point foxtrot[/#value],Hotel Golf Papa make a one eighty stay clear of the runway taxi to holding point foxtrot
LSZH_ZURICH_Tower_118_1MHz_20210414_080802.xml,0,0.09,5.29,[#callsign]United One Three Five[/#callsign] [#unnamed]tower hello[/#unnamed] [#value]behind Lufthansa[/#value] [#command]line up[/#command] [#value]runway two eight behind[/#value],United One Three Five tower hello behind Lufthansa line up runway two eight behind
LSZH_ZURICH_Tower_118_1MHz_20210414_080802.xml,1,5.29,9.48,[#callsign]United One Three Five[/#callsign] [#value]behind Lufthansa[/#value] [#command]line up[/#command] [#value]runway[/#value],United One Three Five behind Lufthansa line up runway
LZIB_STEFANIK_Tower_118_3MHz_20210504_120242.xml,0,0,5.1,[#callsign]Hotel(-tel) Six Zero Three[/#callsign] [#command]taxi to[/#command]  [#value]holding point[/#value]   [#value]runway one three[/#value]   [#value]via delta foxtrot[/#value],Hotel(-tel) Six Zero Three taxi to  holding point   runway one three   via delta foxtrot
LZIB_STEFANIK_Tower_118_3MHz_20210430_203041.xml,0,0,2.52,[#callsign]One Three Juliett[/#callsign] [#unnamed]correction[/#unnamed] [#value]position two foxtrot[/#value],One Three Juliett correction position two foxtrot
LZIB_STEFANIK_Tower_118_3MHz_20210430_203041.xml,1,2.52,5.1,[#value]two foxtrot[/#value] [#callsign]Eurotrans One Three Juliett[/#callsign],two foxtrot Eurotrans One Three Juliett
LSGS_SION_Ground_Control_121_7MHz_20210502_164218.xml,0,0.03,1.56,[#callsign]Lufthansa Mike[/#callsign] [#unnamed]which parking[/#unnamed],Lufthansa Mike which parking
LSGS_SION_Ground_Control_121_7MHz_20210502_164218.xml,1,1.89,8.34,[#callsign]Lufthansa Mike[/#callsign] [#command]continue[/#command] [#value]for[/#value] what [hes] [#value]two zero meters[/#value] and then [#unnamed]will be first a yellow light[/#unnamed] [#value]to the right[/#value],Lufthansa Mike continue for what [hes] two zero meters and then will be first a yellow light to the right
LSGS_SION_Tower_118_3MHz_20210505_140747.xml,0,0.09,2.54,[#callsign]Vistajet Four Six Seven[/#callsign] we [#command]expect to[/#command] [#unnamed]descend[/#unnamed],Vistajet Four Six Seven we expect to descend
YSSY_SYDNEY_Tower_120_5MHz_20210505_121757.xml,0,0,2.87,[#value]one six right[/#value] [#command]cleared to land[/#command] [#callsign]Jetex Seven Four Three Four[/#callsign],one six right cleared to land Jetex Seven Four Three Four
LSZB_BERN_Tower_121_0MHz_20210425_074052.xml,0,0,6.64,[#callsign]Hotel Delta Charlie[/#callsign] [hes] [#unnamed]advise traffic is now clear of you[/#unnamed] and [#command]frequency change approved[/#command],Hotel Delta Charlie [hes] advise traffic is now clear of you and frequency change approved
LSGS_SION_Ground_Control_121_7MHz_20210502_065138.xml,0,0.13,5.16,[#unnamed]Sion[/#unnamed] [#callsign]November Seven One Six Alpha Sierra[/#callsign] [#unnamed]Alpine jet[/#unnamed] [#command]ready for taxi[/#command],Sion November Seven One Six Alpha Sierra Alpine jet ready for taxi
LSGS_SION_Ground_Control_121_7MHz_20210502_065138.xml,1,5.98,8.5,[#callsign]November Alpha Sierra [/#callsign] [#command]taxi to[/#command] [#value]holding point  delta[/#value],November Alpha Sierra  taxi to holding point  delta
LSGS_SION_Ground_Control_121_7MHz_20210502_065138.xml,2,9.05,11.96,[#value]holding point[/#value] [#callsign] November Seven One Six Alpha Sierra[/#callsign],holding point  November Seven One Six Alpha Sierra
LSZB_BERN_Tower_121_0MHz_20210424_164323.xml,0,1.27,2.59,[hes] [spk] one second,[hes] [spk] one second
LSZB_BERN_Tower_121_0MHz_20210424_164323.xml,1,2.93,8.22,sure no worries it [hes] is fine for me [hes] but just for the next time then maybe not get a confusion,sure no worries it [hes] is fine for me [hes] but just for the next time then maybe not get a confusion
LSZB_BERN_Tower_121_0MHz_20210424_164323.xml,2,8.22,8.97,[#unnamed]ok[/#unnamed],ok
LZIB_STEFANIK_Approach_120_9MHz_20210426_203133.xml,0,0,5.28,right so then yeah [#value]Tovka one kilo[/#value] [#unnamed]would be much better[/#unnamed] [#callsign]Eurotrans [hes] One Three Juliett[/#callsign] [#unnamed]thank you[/#unnamed],right so then yeah Tovka one kilo would be much better Eurotrans [hes] One Three Juliett thank you
LZIB_STEFANIK_Approach_120_9MHz_20210426_203133.xml,1,5.3,13.25,[#callsign]Eurotrans One Three Juliett[/#callsign] [#unnamed]roger[/#unnamed] so [#command]recleared via[/#command] [#value]Tovka one kilo[/#value] [#command]departure of[/#command] [#value]runway three one[/#value] [#command]initial climb[/#command] [#value]five thousand feet[/#value],Eurotrans One Three Juliett roger so recleared via Tovka one kilo departure of runway three one initial climb five thousand feet
LZIB_STEFANIK_Approach_120_9MHz_20210426_203133.xml,2,13.49,20.66,[#command]recleared at[/#command] [#value]Tovka one kilo[/#value] [#command]departure[/#command] [#value]runway three[/#value] [#command]initial climb[/#command] [#value]five thousand feet[/#value] and [#command]request push and start[/#command] [#callsign]Eurotrans One Three Juliett[/#callsign],recleared at Tovka one kilo departure runway three initial climb five thousand feet and request push and start Eurotrans One Three Juliett
LZIB_STEFANIK_Approach_120_9MHz_20210426_203133.xml,3,20.75,28.01,[#callsign]Eurotrans One Three Juliett[/#callsign] [#command]push and start approved[/#command] [#value]facing foxtrot[/#value] and [#unnamed]squawk[/#unnamed] [#value]four four zero three[/#value],Eurotrans One Three Juliett push and start approved facing foxtrot and squawk four four zero three
LSZB_BERN_Tower_121_0MHz_20210420_122956.xml,0,2.98,7.85,[#callsign]Hotel Golf Oscar[/#callsign] [#value]at mid downwind[/#value] [#command]make an orbit[/#command] [#value]to the left[/#value] [#command]report completed[/#command],Hotel Golf Oscar at mid downwind make an orbit to the left report completed
YSSY_SYDNEY_Tower_120_5MHz_20210501_084307.xml,0,0.12,5.37,[#unnamed]roger[/#unnamed] [hes] [#command]continue approach[/#command] [hes]   [#command]expect to land[/#command] [#command] vacate[/#command] [#value]golf[/#value] [#callsign]Dynasty Zero Five One[/#callsign],roger [hes] continue approach [hes]   expect to land  vacate golf Dynasty Zero Five One
LKPR_RUZYNE_Radar_120_520MHz_20201025_213836.xml,0,0,10.17,[#callsign]Skytravel Two Eight Two Seven[/#callsign] and there is [#unnamed]closed echo airspace below[/#unnamed] [#value]flight level one hundred[/#value] so [hes] if you [#unnamed]wish to avoid[/#unnamed] [#value]class echo airspace[/#value] next [#command]descend in[/#command] [#value]two zero miles[/#value],Skytravel Two Eight Two Seven and there is closed echo airspace below flight level one hundred so [hes] if you wish to avoid class echo airspace next descend in two zero miles
